recno,Field,RA1,RA2,DE1,DE2,m1,m2,mcen,Nfib,Ngal,f,Night,Frame,plate,_RA.icrs,_DE.icrs
176,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=176,12 39 28.66,12 45 27.94,-02 16 31.1,-01 44 34.1,15.85,17.15,18.0,50,25,0.45,1991-09-04,219,SSA022-500; 1239-03W,12 42 02.92,-02 32 57.5
177,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=177,12 45 11.78,12 51 06.84,-05 15 44.6,-04 44 31.6,16.13,17.43,18.28,50,43,0.47,1990-02-04,185,SSA006-300; 1239-06E,12 47 46.81,-05 32 06.3
178,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=178,12 39 36.74,12 45 11.78,-05 15 44.6,-04 44 31.6,16.13,17.43,18.28,50,43,0.47,1989-02-05,101,SSA005-300; 1239-06W,12 42 11.62,-05 32 10.9
179,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=179,12 45 32.21,12 51 58.68,-12 43 21.7,-11 16 50.5,14.92,17.62,19.17,112,110,0.63,1994-10-04,174,SSA072-200; 1239-12E,12 48 09.07,-12 59 43.1
180,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=180,12 40 19.08,12 45 32.21,-12 43 21.7,-11 16 50.5,14.92,17.62,19.17,112,83,0.57,1994-09-04,160,SSA071-200; 1239-12W,12 42 55.59,-12 59 47.5
181,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=181,12 57 21.41,13 03 13.54,-02 13 37.6,-01 44 25.1,15.83,17.13,18.08,50,47,0.37,1991-04-03,138,SSA013-300; 1251-03E,12 59 55.87,-02 29 47.2
182,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=182,12 51 23.11,12 57 21.41,-02 13 37.6,-01 44 25.1,15.83,17.13,18.08,50,47,0.62,1991-03-03,124,SSA012-300; 1251-03W,12 53 57.50,-02 29 53.5
183,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=183,12 57 28.78,13 03 33.10,-05 15 20.9,-04 44 47.8,16.1,17.4,18.4,50,47,0.53,1992-02-04,138,SSA018-700; 1251-06E,13 00 04.14,-05 31 30.4
184,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=184,12 51 29.11,12 57 28.78,-05 15 20.9,-04 44 47.8,16.1,17.4,18.4,50,46,0.76,1992-01-04,124,SSA019-300; 1251-06W,12 54 04.31,-05 31 36.7
185,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=185,12 57 38.47,13 04 18.02,-12 42 49.7,-11 16 21.7,15.03,17.73,19.38,112,106,0.91,1993-07-03,142,SSA051-300; 1251-12E,13 00 16.11,-12 58 59.0
186,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=186,12 51 58.68,12 57 38.47,-12 42 49.7,-11 16 21.7,15.03,17.73,19.38,112,93,0.47,1993-06-03,128,SSA050-300; 1251-12W,12 54 35.95,-12 59 05.0
